id;point_id;point;reason;date;status
1;933e222a-b15a-47ef-babd-43ffbd9e541c;22827;jovially considering;2025-04-02T22:51:36;REFUND
2;97127c17-bab7-43da-861f-16831ac230c8;12835;aside experience neighboring;2025-04-03T10:58:32;DONE
3;f1a28dfd-5173-42f4-bf61-21e45fb9280a;505;playfully gummy completion;2025-04-03T10:38:20;DONE
4;cf2f29bc-0be6-43fe-b100-ccd2a58bcb06;4497;till;2025-04-02T17:35:41;REFUND
5;9b2b5063-3306-49be-b8f9-b2fb923eee2d;28058;yum orchestrate;2025-04-02T14:19:29;DONE
6;58c43866-f49c-4f4e-9218-1d076c441b05;2537;winged before wherever;2025-04-03T12:52:35;DONE
7;ee2b79b0-11dc-453a-9132-1c7d43084de6;26781;supposing;2025-04-02T22:25:32;DONE
8;ea6ca399-96b9-450b-a15d-94573085c022;4910;that brightly;2025-04-03T02:53:14;REFUND
9;96a0c740-7c1a-46f9-9b90-6daf97dab079;16586;anti;2025-04-03T10:31:31;REFUND
10;ef7848f1-7729-485d-b380-eef0747c715d;21070;lightly gladly;2025-04-02T19:16:20;REFUND
