id;feedback_id;feedback_type;feedback_description;feedback_rating;feedback_status
1;3da42890-9949-4968-a3dc-a2ab887b4567;DRIVER_TO_USER;out;20588;WAITING
2;12551ef5-7913-4209-b733-6df6727b4beb;DRIVER_TO_USER;advanced moisten below;19420;WAITING
3;cf75f0fd-6348-4a28-b2cf-434c3953e2ef;DRIVER_TO_USER;despite;32564;DONE
4;79a9c598-afe6-4aa3-ac7f-0d0d48c6d2b8;DRIVER_TO_USER;spirit community;20656;WAITING
5;6f31bf76-97d4-4f18-b222-4ddf759555f6;USER_TO_DRIVER;camouflage furthermore confound;32656;WAITING
6;99d6c4f1-ce8f-4595-81a8-5125ffb02e76;DRIVER_TO_USER;unimpressively wasabi;21539;DONE
7;09d02cd8-8f08-43de-a499-ae3d4c612c3a;USER_TO_DRIVER;sideboard;32259;DONE
8;b51bed36-fb55-485b-bafe-481aa548fbfa;USER_TO_DRIVER;ribbon instead astonishing;5504;DONE
9;d4441a48-c48a-43c7-a73a-34727df16eb6;DRIVER_TO_USER;beautifully beneath;6860;DONE
10;4e458b8d-f20c-4ecd-9c4d-2352d3b0db88;DRIVER_TO_USER;heroine;22732;DONE
