id;passenger_id;start_loca;end_loca;amount_approve_fee;luggage_img;luggage_img_content_type;luggage_description;type;status;pick_up_time;end_time;check_in;check_in_time;check_out;check_out_t_ime;applied_at
1;f9d2300e-5431-4706-abe6-9e2333d4d232;when;gee knowledgeably;25617.71;../fake-data/blob/hipster.png;image/png;yahoo fooey supposing;PASSENGER;DONE;2025-03-02T09:58:06;2025-03-02T23:12:17;true;2025-03-02T15:40:06;true;2025-03-02T07:11:23;2025-03-02T08:00:58
2;5d4c6833-4484-4d24-8216-e034b4ce4d9b;owlishly grip;mansion;11963.36;../fake-data/blob/hipster.png;image/png;horde revert;LUGGAGE;WATING;2025-03-02T14:39:33;2025-03-02T05:12:24;true;2025-03-02T17:38:03;false;2025-03-02T08:33:23;2025-03-02T17:54:23
3;53f51d11-c268-4a67-a382-36bc75bad700;anti;nibble;24275.54;../fake-data/blob/hipster.png;image/png;presume ugh oh;PASSENGER;WATING;2025-03-02T04:13:47;2025-03-02T20:08:02;false;2025-03-02T07:52:43;false;2025-03-03T01:19:42;2025-03-02T21:58:21
4;758e56d2-e8f7-4fab-bdf0-4d48dc50e088;debt sigh thin;incompatible cucumber wildly;15086.09;../fake-data/blob/hipster.png;image/png;clearing chairlift splash;PASSENGER;CANCEL;2025-03-02T13:52:05;2025-03-02T10:55:48;true;2025-03-03T01:35:55;false;2025-03-02T07:34:36;2025-03-02T08:12:32
5;665c0bfe-9bac-4db3-8b32-f3f5a8f2bde2;absentmindedly times barren;survivor methodology;2481.87;../fake-data/blob/hipster.png;image/png;vehicle aid among;PASSENGER;BOOKED;2025-03-02T15:42:41;2025-03-02T08:53:00;true;2025-03-02T21:43:37;true;2025-03-02T08:51:25;2025-03-02T07:44:56
6;88e00b65-fb47-4b30-b27a-ba1fa0f42214;through slosh phew;greedily healthily;16886.39;../fake-data/blob/hipster.png;image/png;lest obedient multicast;PASSENGER;EMPTY;2025-03-02T20:56:55;2025-03-02T18:33:02;false;2025-03-02T13:37:57;false;2025-03-02T08:31:23;2025-03-03T01:24:25
7;5de83cf9-91be-476c-9bd9-37d4e5fe0c64;as interrupt;oddly;26819.99;../fake-data/blob/hipster.png;image/png;below;LUGGAGE;WATING;2025-03-02T04:42:54;2025-03-02T18:53:14;false;2025-03-02T18:15:46;false;2025-03-02T08:55:36;2025-03-02T17:37:51
8;7b0b38cd-9016-482f-9dd3-8224c2dcf502;lest;jovial jade;5067.38;../fake-data/blob/hipster.png;image/png;maim;LUGGAGE;EMPTY;2025-03-02T11:53:51;2025-03-02T11:14:11;true;2025-03-02T16:48:09;false;2025-03-03T00:50:57;2025-03-02T07:36:26
9;fdb212bc-2c7a-4455-a21e-5bab15ebfbc3;loathsome;certainly qua bah;27752.01;../fake-data/blob/hipster.png;image/png;gummy;LUGGAGE;EMPTY;2025-03-03T01:54:34;2025-03-03T00:38:00;false;2025-03-02T12:49:01;true;2025-03-02T11:34:18;2025-03-02T11:18:40
10;d84134fc-905a-4832-b5b1-c2830a9500fb;brr exactly speedy;gracefully;12434.36;../fake-data/blob/hipster.png;image/png;curvy skipper;LUGGAGE;WATING;2025-03-02T15:29:43;2025-03-02T23:46:16;false;2025-03-03T02:53:07;true;2025-03-02T05:32:44;2025-03-02T19:57:55
