id;report_id;report_type;date;content;report_status
1;f9e15c48-e31a-448c-926d-93d44afdbdc6;USER_TO_DRIVER;2025-03-03T02:56:56;selfishly first;WAITING
2;a9c34642-b722-4eeb-ac3c-d91e59baba72;DRIVER_TO_USER;2025-03-02T05:40:24;junior over;WAITING
3;86116e85-936d-4c66-8a47-4a495b479d17;DRIVER_TO_USER;2025-03-02T17:31:52;but;DONE
4;efc87e99-abe3-49c3-85cf-b505d369172b;USER_TO_DRIVER;2025-03-02T13:12:32;hence about;WAITING
5;c1c6f5d9-4cf3-45f9-937c-707183acf8b7;DRIVER_TO_USER;2025-03-02T19:32:41;cuckoo ugh;DONE
6;7700b5f8-eaff-4d98-ad96-744bd3fce981;USER_TO_DRIVER;2025-03-02T23:12:51;now pepper;DONE
7;a8ef9199-d060-41f5-b1b1-7c06146bfaa1;DRIVER_TO_USER;2025-03-02T08:34:42;well-to-do thoughtfully forenenst;WAITING
8;5bdabf17-eed2-4418-bc2b-27535eb7c86c;USER_TO_DRIVER;2025-03-02T15:05:40;impassioned aha meatloaf;WAITING
9;df0aae35-dd5e-4abe-82a0-a72790f58769;DRIVER_TO_USER;2025-03-02T14:43:16;repeatedly;WAITING
10;f0703144-a25e-4f55-87f0-b42d7a315707;USER_TO_DRIVER;2025-03-02T14:49:12;only attraction;DONE
