id;request_trip_id;start_loca;end_loca;amount_approve_fee;numberof_seats;luggage_img;luggage_img_content_type;luggage_description;type;status;pick_up_time;end_time;check_in;check_in_time;check_out;check_out_t_ime;applied_at
1;de8c140a-9cc0-4379-b492-4d6427c53308;reorganisation across;keenly;30691.18;32293;../fake-data/blob/hipster.png;image/png;pfft;PASSENGER;DONE;2025-03-16T13:58:18;2025-03-16T04:14:30;false;2025-03-16T06:23:26;false;2025-03-16T12:03:48;2025-03-16T18:35:42
2;f87d020a-e8fb-43c9-8c8f-65fdccff2630;teriyaki;numeracy aw that;24472.65;11635;../fake-data/blob/hipster.png;image/png;lighthearted egg;LUGGAGE;REJECTED;2025-03-16T09:24:35;2025-03-16T23:33:17;true;2025-03-16T22:19:32;true;2025-03-16T17:11:14;2025-03-16T10:01:57
3;ed770b7b-d88c-4d3a-a97b-7df5e2de3ca6;oof restaurant;lest new;14301.68;11718;../fake-data/blob/hipster.png;image/png;phew minion never;LUGGAGE;DONE;2025-03-16T17:35:01;2025-03-16T20:23:13;false;2025-03-16T15:46:25;true;2025-03-16T06:48:34;2025-03-16T18:13:21
4;0b4372fb-e9b0-404f-b3cb-eec611c5af22;excepting monthly;slowly upright;28428.54;3228;../fake-data/blob/hipster.png;image/png;slink guilty;PASSENGER;WAITING;2025-03-16T03:40:40;2025-03-16T06:31:39;true;2025-03-16T20:14:19;true;2025-03-16T14:13:58;2025-03-16T17:41:23
5;f5cdcb28-cf70-4cc6-98dc-1b8a683f5a33;splash savour;hydrolyze monthly always;8256.69;5339;../fake-data/blob/hipster.png;image/png;graft shrilly or;PASSENGER;DONE;2025-03-17T01:54:24;2025-03-16T13:10:27;true;2025-03-16T20:21:22;false;2025-03-16T18:58:11;2025-03-16T22:35:01
6;cc543a6b-02f0-4874-9558-e4b570825b9a;unbalance accountability;inquisitively consequently range;18300.65;6717;../fake-data/blob/hipster.png;image/png;equal;LUGGAGE;CANCEL;2025-03-17T01:11:30;2025-03-16T09:46:28;false;2025-03-16T13:04:30;false;2025-03-16T06:21:55;2025-03-16T17:00:32
7;457c672e-67ad-4272-96b1-571b0568e097;daintily see untimely;scorpion mmm;31118.21;16153;../fake-data/blob/hipster.png;image/png;however;PASSENGER;CANCEL;2025-03-16T09:04:12;2025-03-16T23:38:02;false;2025-03-16T20:09:51;true;2025-03-16T08:33:31;2025-03-16T18:44:19
8;c72c9a83-6174-4e37-ba09-5c959a6cd9eb;passport ashamed intelligent;though hm;7918.68;30506;../fake-data/blob/hipster.png;image/png;posh optimistically what;LUGGAGE;REJECTED;2025-03-16T15:08:37;2025-03-16T10:08:43;true;2025-03-16T10:07:42;false;2025-03-16T08:20:01;2025-03-16T22:53:37
9;dbb905a6-4f68-488c-b008-cb937a38427b;obtrude;yum hm season;21729.73;22752;../fake-data/blob/hipster.png;image/png;develop;PASSENGER;EMPTY;2025-03-16T23:26:44;2025-03-16T13:17:09;false;2025-03-16T15:44:36;true;2025-03-16T06:51:30;2025-03-16T20:29:53
10;a9a64152-3def-43aa-b919-4644c788dd86;mockingly;unnaturally;20981.11;9504;../fake-data/blob/hipster.png;image/png;compromise hm quarterly;PASSENGER;DONE;2025-03-16T14:13:53;2025-03-16T02:43:48;false;2025-03-16T17:07:47;true;2025-03-16T06:42:54;2025-03-16T14:57:07
