id;apli_id;send_application_type;content;img;img_content_type
1;8ce2db5b-7d90-494e-a9e1-c60f37eaeef9;FEEDBACKSYSTEM;clearly;../fake-data/blob/hipster.png;image/png
2;f2105030-934f-4a7f-9074-202b87ace09c;FEEDBACKSYSTEM;majestically tenderly;../fake-data/blob/hipster.png;image/png
3;b1eced4a-b049-438e-aea0-e1f1ae9539e3;FEEDBACKSYSTEM;upside-down;../fake-data/blob/hipster.png;image/png
4;85db34ef-e5dd-4dc6-afef-7003bb0ac98e;REPORTBUG;barring or;../fake-data/blob/hipster.png;image/png
5;3aee5d0d-be82-4e74-a426-cc8918919b92;REPORTDRIVER;vibrant horde pointless;../fake-data/blob/hipster.png;image/png
6;20138758-4a37-4a26-9b41-bcd1a967659c;FEEDBACKSYSTEM;prime mallard with;../fake-data/blob/hipster.png;image/png
7;583134aa-029b-45b4-8747-fcb29361a07c;REPORTDRIVER;why;../fake-data/blob/hipster.png;image/png
8;d6c68b98-7fea-49c2-9864-bf162a7d70a3;REPORTBUG;furthermore dampen;../fake-data/blob/hipster.png;image/png
9;bfcb8466-3a3d-41a4-a4b3-43d5eeabb519;FEEDBACKSYSTEM;carpool terribly tame;../fake-data/blob/hipster.png;image/png
10;9c5af1dd-aba3-4f8e-aad1-7f3497f713fc;REPORTDRIVER;minus barring to;../fake-data/blob/hipster.png;image/png
