id;system_wallet_id;jhi_before;amount;current;mobify_date
1;165fe65a-aba3-4b8d-a0b0-ea8855bd7891;9813.51;5302.31;11165.11;2025-03-02T07:29:39
2;83fdc3e4-7eef-498a-886d-8f284c80b58b;26809.88;23830.41;3011.01;2025-03-02T16:38:05
3;a8e8046c-3d7e-43d0-aee3-91e3074af2d0;1967.78;14591.49;17581.92;2025-03-02T20:34:04
4;5cbee0da-65a5-4331-b340-7282ea2c06f8;25977.54;5274.88;29534.68;2025-03-02T16:53:58
5;384f2d47-d24a-4cf3-9349-cd808b57f331;15206;3032.48;9065.35;2025-03-02T04:55:34
6;1128766b-6cd6-4e4f-8dc8-9c10a1f83287;28255.05;30870.66;3696.62;2025-03-02T13:37:47
7;4b85020d-8810-49a8-98fb-0ebbbcf6839e;18016.45;15001.66;11640.94;2025-03-02T04:18:15
8;3b10d63c-d2c2-44a4-9d8b-cfe2c7b0dc24;27855.22;2031.28;18080.35;2025-03-02T14:05:51
9;6ab0bfee-a7ec-4fa8-bb28-5e704b863f00;19614.37;14163.38;10575.97;2025-03-02T17:35:18
10;9784db03-0094-40a3-b9c4-7ffb76330a68;1113.75;15318.38;27837.61;2025-03-02T09:28:50
