id;system_wallet_id;jhi_before;amount;current;block_amount;mobify_date
1;c77cfb84-6b08-4986-8862-a2ec83a94e6f;12464.97;12548.21;23653.04;9144.2;2025-03-02T08:53:39
2;8d53ef1c-825b-48e5-be4c-afe588a8ae41;6476.24;7444.31;11731.47;19590.71;2025-03-02T15:54:27
3;a0a48e0e-791d-4237-abfc-dfe492f69c3b;25931.3;18811.72;1468.27;23955.25;2025-03-02T05:30:30
4;5c01d443-a9ab-41c5-99df-04029d8fae7f;22372.46;19941.32;29006.09;29516.49;2025-03-02T08:40:40
5;005a07f7-a404-4469-ad28-a05e0b7eccc4;21310.18;25041.13;30095.01;5937.59;2025-03-02T12:15:50
6;fa9ec688-d92e-4cac-93ab-f35381471b9a;10834.59;28932.02;24901.23;23230.97;2025-03-02T16:36:57
7;4178c73c-8b15-4e83-988b-6226e3321fcc;6971.64;29073.33;23826.23;22072.41;2025-03-02T10:43:48
8;1da8628d-4c0f-46b3-993e-e583a5e97f73;32017.23;18156.05;16540.06;20188.05;2025-03-02T16:43:57
9;babb6fb7-4c0f-4cca-8824-91b5305a8667;23202.47;12554.28;13540.93;22006.15;2025-03-03T02:39:35
10;0e0f870f-eb43-4239-99ef-1973dbb1b437;24866.27;12691.26;28627.22;6737.2;2025-03-02T17:52:31
