id;trip_id;trip_img;trip_img_content_type;price_per_seat;max_seat;total_time;total_distance;start_date;end_date;current_seat;start_location;end_location;description;jhi_condition;cancel_reason;trip_status
1;3b1e698c-be0c-4048-8bfd-8735aa98a956;../fake-data/blob/hipster.png;image/png;14797.97;9925;10761;10266.75;2025-03-02T22:07:31;2025-03-02T04:23:30;32583;on;joshingly gah;lest;midst separately polarisation;westernize tooth;RESEND
2;5dadc934-c1bd-4975-af61-2a71377b3181;../fake-data/blob/hipster.png;image/png;18735.96;13837;12255;30579.97;2025-03-02T04:37:36;2025-03-02T13:50:17;6629;sashay yowza;fishery;grok uh-huh;gratefully about ugh;crank;DONE
3;3e1eff0c-cb17-44f0-8636-66c1aa6b840b;../fake-data/blob/hipster.png;image/png;16715.18;526;23096;16450.36;2025-03-03T01:57:28;2025-03-02T17:32:06;17901;enthusiastically;unlike gifted fork;ick indeed;circle platypus against;boldly unless;REJECTED
4;7393c579-35a4-4815-b7a2-0936af86558b;../fake-data/blob/hipster.png;image/png;9917.54;4150;9909;17592.98;2025-03-02T05:39:32;2025-03-02T11:11:44;309;boastfully handover;needily scented tuba;ouch though;gadzooks;because geez;RESEND
5;86bcea3a-19e5-42c0-98d5-423c4824feff;../fake-data/blob/hipster.png;image/png;6654.93;25227;8064;10440.44;2025-03-02T17:37:02;2025-03-02T14:04:29;20404;practical vestment boohoo;anguished;so;amused;bolster unbearably pro;DONE
6;b17f7b5c-c87d-48f2-88ab-1b6406645339;../fake-data/blob/hipster.png;image/png;28296.56;26164;12881;1197.27;2025-03-03T03:00:47;2025-03-03T00:53:55;26852;smart before printer;authorized about;grandpa awesome;yet ha;honestly gosh eek;REJECTED
7;ea15c6c6-e669-4e22-bae0-f0ef9da9c184;../fake-data/blob/hipster.png;image/png;5946.87;30507;19123;24294.13;2025-03-02T08:33:08;2025-03-03T00:03:03;20081;even whoa;stunning;gee truly;mythology labourer till;a homely easily;DONE
8;40920116-7784-49c0-9ae7-d8ba7c4fc895;../fake-data/blob/hipster.png;image/png;16281.11;27794;14299;23773.6;2025-03-02T16:50:56;2025-03-02T19:12:07;3872;anenst sonata obesity;after dense gee;softly tarry properly;yet;spear;CANCEL
9;86b904cc-927f-4c4d-9fa9-ba65e7402e35;../fake-data/blob/hipster.png;image/png;4882.53;7769;15083;14657.96;2025-03-02T06:45:19;2025-03-02T08:07:35;30805;entomb beside fooey;loudly substantial;clinch rebuke snowplow;naturally;oh;RESEND
10;c04566b0-6186-48dd-88f0-fed2784c33aa;../fake-data/blob/hipster.png;image/png;28804.94;20372;21228;12276.91;2025-03-03T03:28:09;2025-03-02T13:44:23;11052;especially;hello hope;devil;cannibalise doubter unblinking;glorious nor;UPCOMING
