id;user_wallet;jhi_before;amount;current;mobify_date
1;8efc9c76-72c2-4965-993a-7c9a8e594004;11878.04;16987.59;8603.83;2025-03-02T12:54:13
2;bb2e6f08-029e-45c8-875f-1010dbf961ba;1405.73;27718.3;19291.41;2025-03-02T22:56:03
3;bec65d67-46af-4bdd-8e4b-61d9cddfcd4f;3545.74;26612.33;7464.21;2025-03-02T12:18:45
4;a70a17d2-7680-46a9-855b-03b06349f64d;17074.08;4439.12;10857.36;2025-03-02T13:35:02
5;67b5d3f1-02a5-4bf0-a819-f65d352eb0e6;6542.84;32541.31;32206.51;2025-03-02T13:41:37
6;8be0cba7-8b6b-47fa-9201-080b98e3c865;8090.75;31830.64;13281.49;2025-03-02T13:35:54
7;96d7fb06-3634-4573-9f05-8e8b95555dab;31830.63;19547.39;7929.53;2025-03-02T18:18:14
8;1fdb3100-fe14-4ed2-a371-265ee86958e6;23755.42;26200.82;6872.26;2025-03-02T14:16:23
9;e3856524-833f-4c96-97c0-716bc9954788;26441.84;31010.51;9044.78;2025-03-02T18:06:14
10;491f8256-43f6-4637-b09e-009489108293;20958.96;2944.2;22346.71;2025-03-02T08:48:26
