id;vehicle_id;vehicle_type;vehicle_image;vehicle_image_content_type;carregistration;carregistration_content_type;vehicle_inspection_certificate;vehicle_inspection_certificate_content_type;car_insurance;car_insurance_content_type;vehicle_number;number_of_seats;vehicle_color;vehicle_brand;status
1;1782c12b-aa9c-49ac-926e-d444f397b50a;BIKE;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;wisely;7511;partial pointless spiral;cluttered plus;ACTIVE
2;055f6ed7-dba3-4822-8afc-16bb00628c1c;CAR;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;mmm basket;3498;acid gosh;gracefully brr;CONFIRMING
3;ef989817-03d5-4894-b667-76f757037045;CAR;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;solidity;3742;nun ah nicely;since glum courageously;CANCEL
4;8420cbc7-91ec-4528-bf99-2f8bf900ccbb;CAR;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;penny raw;21588;how bare hence;gigantic so;CONFIRMING
5;0805aef6-9ebb-4dc4-a247-1c3ad4171ca9;BIKE;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;on;13200;funny atomise for;scary content finalise;CANCEL
6;cbbb44c1-7e67-4c8f-90e6-918596a47aa7;CAR;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;escape finally rave;12285;bicycle crimp of;imagine;ACTIVE
7;e142076e-324d-447b-add4-1eb70cab2365;CAR;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;tinted;20241;whenever because;yet;CONFIRMING
8;59f2f5da-2c99-4455-b8fa-7be8da853062;CAR;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;whether next supposing;27656;furthermore;arrogantly;CONFIRMING
9;00d66587-8ff1-4d53-9eb3-467bbd8595a0;BIKE;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;though unrealistic;2983;deep;jive laborer continually;CONFIRMING
10;e21fcfdd-87f1-402a-ad8a-645d3dffb41f;BIKE;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;ack who;3014;incentivize evaluator;satirise;CANCEL
